query,cluster,intent,az_relevant,gap_type,search_volume,cpc,competition_level,keyword_difficulty,our_position,our_collection,our_url,competitor_position,competitor_domain,competitor_url,priority_score
arizona workers compensation attorney,unknown,commercial,True,head_commercial,1300,48.81999969482422,LOW,,,none,,17,lernerandrowe.com,https://lernerandrowe.com/practice/workers-compensation/,325.0
attorney peoria il,unknown,commercial,True,head_commercial,1300,25.75,LOW,,,none,,49,lernerandrowe.com,https://lernerandrowe.com/,325.0
auto accident attorneys arizona,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,15,lernerandrowe.com,https://lernerandrowe.com/arizona/phoenix/,325.0
auto accident lawyer arizona,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,12,lernerandrowe.com,https://lernerandrowe.com/arizona/phoenix/,325.0
az car accident attorney,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,19,lernerandrowe.com,https://lernerandrowe.com/arizona/phoenix/,325.0
az workers comp lawyers,meta,commercial,True,head_commercial,1300,48.81999969482422,LOW,,,none,,20,lernerandrowe.com,https://lernerandrowe.com/practice/workers-compensation/,325.0
car accident attorney arizona,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,24,lernerandrowe.com,https://lernerandrowe.com/arizona/phoenix/,325.0
car accident lawyer arizona,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,4,lernerandrowe.com,https://lernerandrowe.com/,325.0
car accident lawyers arizona,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,2,lernerandrowe.com,https://lernerandrowe.com/,325.0
car accident lawyers in arizona,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,2,lernerandrowe.com,https://lernerandrowe.com/,325.0
glendale personal injury attorney,unknown,commercial,True,head_commercial,1300,11.59000015258789,LOW,,,none,,36,lernerandrowe.com,https://lernerandrowe.com/arizona/glendale/,325.0
glendale personal injury lawyer,meta,commercial,True,head_commercial,1300,11.59000015258789,LOW,,,none,,37,lernerandrowe.com,https://lernerandrowe.com/california/glendale/,325.0
glendale personal injury lawyers,meta,commercial,True,head_commercial,1300,11.59000015258789,LOW,,,none,,32,lernerandrowe.com,https://lernerandrowe.com/california/glendale/,325.0
injury lawyer glendale,meta,commercial,True,head_commercial,1300,11.59000015258789,LOW,,,none,,50,lernerandrowe.com,https://lernerandrowe.com/california/glendale/,325.0
injury lawyers glendale ca,meta,commercial,True,head_commercial,1300,11.59000015258789,LOW,,,none,,83,lernerandrowe.com,https://lernerandrowe.com/california/glendale/,325.0
failed to report,unknown,informational,False,almost,320,0.0,LOW,,29,practice-area,https://azlawnow.com/premises-liability/failure-to-report-abuse/,,,,320.0
lamber goodnow injury lawyers,branded,branded,False,almost,320,120.31999969482422,LOW,,25,other,https://azlawnow.com/locations/maricopa-injury-lawyer/,,,,320.0
18 wheeler accident attorney houston tx,vehicle-crashes,commercial,False,head_commercial,1600,0.0,MEDIUM,,,none,,78,lernerandrowe.com,https://lernerandrowe.com/texas/houston/truck-accident-attorneys/,320.0
18-wheeler accident attorney houston tx,vehicle-crashes,commercial,False,head_commercial,1600,0.0,MEDIUM,,,none,,74,lernerandrowe.com,https://lernerandrowe.com/texas/houston/truck-accident-attorneys/,320.0
18-wheeler accident lawyer houston,vehicle-crashes,commercial,False,head_commercial,1600,0.0,MEDIUM,,,none,,72,lernerandrowe.com,https://lernerandrowe.com/texas/houston/truck-accident-attorneys/,320.0
accident attorney las vegas,vehicle-crashes,commercial,False,head_commercial,1600,355.6000061035156,LOW,,,none,,12,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/,320.0
accident attorneys in my area,vehicle-crashes,commercial,False,head_commercial,1600,223.5800018310547,HIGH,,,none,,81,lernerandrowe.com,https://lernerandrowe.com/indiana/merrillville/,320.0
accident attorneys las vegas,vehicle-crashes,commercial,False,head_commercial,1600,355.6000061035156,LOW,,,none,,55,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/car-accident-lawyer/,320.0
accident lawyer las vegas,vehicle-crashes,commercial,False,head_commercial,1600,355.6000061035156,LOW,,,none,,21,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/,320.0
accident lawyer rockford,vehicle-crashes,commercial,False,head_commercial,1600,89.75,LOW,,,none,,32,lernerandrowe.com,https://lernerandrowe.com/illinois/rockford/,320.0
accident lawyers in my area,vehicle-crashes,commercial,False,head_commercial,1600,223.5800018310547,HIGH,,,none,,26,lernerandrowe.com,https://lernerandrowe.com/arizona/tucson/,320.0
accident lawyers las vegas,vehicle-crashes,commercial,False,head_commercial,1600,355.6000061035156,LOW,,,none,,22,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/,320.0
accident lawyers springfield,vehicle-crashes,commercial,False,head_commercial,1600,86.8499984741211,MEDIUM,,,none,,36,lernerandrowe.com,https://lernerandrowe.com/illinois/springfield/,320.0
albuquerque nm attorneys,unknown,commercial,False,head_commercial,1600,40.27000045776367,MEDIUM,,,none,,44,lernerandrowe.com,https://lernerandrowe.com/new-mexico/albuquerque/,320.0
